WorldCup,year,location,first,second,third,fourth,goalsScored,matchesPlayed,attendance
wc1930,1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,18,590549
wc1934,1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,17,363000
wc1938,1938,France,Italy,Hungary,Brazil,Sweden,84,18,375000
wc1950,1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,22,1045246
wc1954,1954,Switzerland,GermanyFR,Hungary,Austria,Uruguay,14,26,768607
wc1958,1958,Sweden,Brazil,Sweden,France,GermanyFR,126,35,819810
wc1962,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,32,893172
wc1966,1966,England,England,GermanyFR,Portugal,Soviet_Union,89,32,1563135
wc1970,1970,Mexico,Brazil,Italy,GermanyFR,Uruguay,95,32,1603975
wc1974,1974,Germany,GermanyFR,Netherlands,Poland,Brazil,97,38,1865753
wc1978,1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,38,1545791
wc1982,1982,Spain,Italy,GermanyFR,Poland,France,146,52,2109723
wc1986,1986,Mexico,Argentina,GermanyFR,France,Belgium,132,52,2394031
wc1990,1990,Italy,GermanyFR,Argentina,Italy,England,115,52,2516215
wc1994,1994,USA,Brazil,Italy,Sweden,Bulgaria,141,52,3587538
wc1998,1998,France,France,Brazil,Croatia,Netherlands,171,64,2785100
wc2002,2002,Korea_Japan,Brazil,Germany,Turkey,KoreaRepublic,161,64,2705197
wc2006,2006,Germany,Italy,France,Germany,Portugal,147,64,3359439
wc2010,2010,SouthAfrica,Spain,Netherlands,Germany,Uruguay,145,64,3178856
wc2014,2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,64,3386810
wc2018,2018,Russia,France,Croatia,Belgium,England,169,64,3430000 
