Date,SPY
9/10/2018,288.1
9/7/2018,287.6
9/6/2018,288.16
9/5/2018,289.03
9/4/2018,289.81
8/31/2018,290.31
8/30/2018,290.3
8/29/2018,291.48
8/28/2018,289.92
8/27/2018,289.78
8/24/2018,287.51
8/23/2018,285.79
8/22/2018,286.17
8/21/2018,286.34
8/20/2018,285.67
8/17/2018,285.06
8/16/2018,284.06
8/15/2018,281.78
8/14/2018,283.9
8/13/2018,282.1
8/10/2018,283.16
8/9/2018,285.07
8/8/2018,285.46
8/7/2018,285.58
8/6/2018,284.64
8/3/2018,283.6
8/2/2018,282.39
8/1/2018,280.86
7/31/2018,281.33
7/30/2018,279.95
7/27/2018,281.42
7/26/2018,283.34
7/25/2018,284.01
7/24/2018,281.61
7/23/2018,280.2
7/20/2018,279.68
7/19/2018,280
7/18/2018,281.06
7/17/2018,280.47
7/16/2018,279.34
7/13/2018,279.59
7/12/2018,279.37
7/11/2018,276.86
7/10/2018,278.9
7/9/2018,277.9
7/6/2018,275.42
7/5/2018,273.11
7/3/2018,270.9
7/2/2018,271.86
6/29/2018,271.28
6/28/2018,270.89
6/27/2018,269.35
6/26/2018,271.6
6/25/2018,271
6/22/2018,274.74
6/21/2018,274.24
6/20/2018,275.97
6/19/2018,275.5
6/18/2018,276.56
6/15/2018,277.13
6/14/2018,277.484
6/13/2018,276.7871
6/12/2018,277.6732
6/11/2018,277.3148
6/8/2018,276.9464
6/7/2018,276.1301
6/6/2018,276.1599
6/5/2018,273.8702
6/4/2018,273.6711
6/1/2018,272.3769
5/31/2018,269.7288
5/30/2018,271.3913
5/29/2018,267.8174
5/25/2018,270.9334
5/24/2018,271.5805
5/23/2018,272.138
5/22/2018,271.3913
5/21/2018,272.1479
5/18/2018,270.1171
5/17/2018,270.794
5/16/2018,271.023
5/15/2018,269.8881
5/14/2018,271.7597
5/11/2018,271.6303
5/10/2018,270.804
5/9/2018,268.2953
5/8/2018,265.7268
5/7/2018,265.7268
5/4/2018,264.8308
5/3/2018,261.446
5/2/2018,262.0234
5/1/2018,263.7955
4/30/2018,263.3276
4/27/2018,265.3684
4/26/2018,265.1195
4/25/2018,262.4515
4/24/2018,261.8044
4/23/2018,265.3784
4/20/2018,265.4182
4/19/2018,267.688
4/18/2018,269.1813
4/17/2018,268.9822
4/16/2018,266.1349
4/13/2018,263.9647
4/12/2018,264.7412
4/11/2018,262.5809
4/10/2018,263.9647
4/9/2018,259.8333
4/6/2018,258.559
4/5/2018,264.4525
4/4/2018,262.3818
4/3/2018,259.6043
4/2/2018,256.319
3/29/2018,261.9736
3/28/2018,258.6685
3/27/2018,259.4351
3/26/2018,263.9249
3/23/2018,256.8964
3/22/2018,262.4913
3/21/2018,269.2211
3/20/2018,269.7388
3/19/2018,269.2808
3/16/2018,272.9743
3/15/2018,272.6786
3/14/2018,272.976
3/13/2018,274.384
3/12/2018,276.1689
3/9/2018,276.5159
3/8/2018,271.7862
3/7/2018,270.4773
3/6/2018,270.5765
3/5/2018,269.8923
3/2/2018,266.8085
3/1/2018,265.4402
2/28/2018,269.3568
2/27/2018,272.1134
2/26/2018,275.5541
2/23/2018,272.391
2/22/2018,268.1174
2/21/2018,267.7703
2/20/2018,269.109
2/16/2018,270.8045
2/15/2018,270.7252
2/14/2018,267.3142
2/13/2018,263.7545
2/12/2018,263.1001
2/9/2018,259.2925
2/8/2018,255.4552
2/7/2018,265.4105
2/6/2018,266.8581
2/5/2018,261.702
2/2/2018,273.1248
2/1/2018,279.203
1/31/2018,279.5203
1/30/2018,279.3815
1/29/2018,282.2768
1/26/2018,284.1608
